document,metadata
"Brand: Anker
Aspects: build, comfort, sound
Rating: 5.0
Importance Score: 0.25
Review: I jog with these earbuds and they work great! Very impressed with sound quality and comfort. I jog with these earbuds and they work great!","{'type': 'positive_evidence', 'brand': 'Anker', 'aspects': ['build', 'comfort', 'sound'], 'parent_asin': 'B0734T78Z7'}"
"Brand: Sony
Aspects: build, comfort, price, sound
Rating: 4.0
Importance Score: 11.15
Review: Perfect for gamers or rock and roll I bought these for our 13 year old son in order to reclaim my Sony MDR-7506 studio headphones that he had appropriated for gaming.  The MDR-XB400/VIO XB are much more suitable for kids and gaming, with oversized reinforced plastic strain relievers where the wires attach to the speakers, and a lightweight, all plastic design.  The speaker wires are flatted, flexible and uncoiled, and far lighter than the standard coiled leads for studio quality headphones, as is appropriate for kids and gaming.  One notable drawback (or feature, depending on how one uses the headphones) is the very short length of the cable, that is only about 4 feet long.<br /><br />The sound isolation is excellent (his computer sits right next to mine in our home office and I cannot hear a thing from his play), and he actually prefers the sound to that of my MDR-7506, which of course were designed to be as flat as possible, in contrast to the MDR-XB400/VIO XB which have considerable bass and treble boost.  This also makes them pretty good for listing to rock and roll or hip-hop or anything where a strong bass is desired.  Overall, an excellent value for the price.<br /><br />Recommended.<br /><br />J.M. Tepper","{'type': 'positive_evidence', 'brand': 'Sony', 'aspects': ['build', 'comfort', 'price', 'sound'], 'parent_asin': 'B00AN8TW0I'}"
"Brand: Sony
Aspects: anc, connectivity, sound
Rating: 4.0
Importance Score: 51.92
Review: Not all that noise cancelling I feel like the noise cancelling was better out of the box and then it kinda slacked off. Not sure if that's a thing. I've tried all the settings. I've tried resetting them. Also, apparently with most (all?) Bluetooth headphones, there is lag. This is super annoying when you are trying to do something audio/timing related like video editing or synching sound tracks with videos. Don't even bother. But for listening to music while you are doing something else, they're great.","{'type': 'positive_evidence', 'brand': 'Sony', 'aspects': ['anc', 'connectivity', 'sound'], 'parent_asin': 'B088GJ1L5Z'}"
"Brand: Skullcandy
Aspects: price
Rating: 5.0
Importance Score: 0.10
Review: Works well for the price! Works well for office use.","{'type': 'positive_evidence', 'brand': 'Skullcandy', 'aspects': ['price'], 'parent_asin': 'B0B3M2KLD1'}"
"Brand: Sony
Aspects: battery, build, comfort, price, sound
Rating: 5.0
Importance Score: 2.19
Review: Great sound quality Awesome sound and great battery life, best ear buds on the market in this price point.","{'type': 'positive_evidence', 'brand': 'Sony', 'aspects': ['battery', 'build', 'comfort', 'price', 'sound'], 'parent_asin': 'B01KOE13WU'}"
"Brand: LG
Aspects: build
Rating: 5.0
Importance Score: 0.15
Review: Five Stars I bought these for my niece after her others broke. She loves them.","{'type': 'positive_evidence', 'brand': 'LG', 'aspects': ['build'], 'parent_asin': 'B00RRGHRWO'}"
"Brand: Skullcandy
Aspects: price, sound
Rating: 5.0
Importance Score: 0.14
Review: Good sound good value Good Sound can't beat these headphones for the price.","{'type': 'positive_evidence', 'brand': 'Skullcandy', 'aspects': ['price', 'sound'], 'parent_asin': 'B08HTNC8PJ'}"
"Brand: Bose
Aspects: battery, comfort, sound
Rating: 5.0
Importance Score: 0.13
Review: Five Stars Love these!!!!  Sound is great, easy to charge & fits very nicely.","{'type': 'positive_evidence', 'brand': 'Bose', 'aspects': ['battery', 'comfort', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Audio-Technica
Aspects: comfort, connectivity
Rating: 5.0
Importance Score: 0.35
Review: best pair of headphone i have ever had best pair of headphone i have ever had. only bad thing is now that i can hear imperfections clear as day with my record player set up","{'type': 'positive_evidence', 'brand': 'Audio-Technica', 'aspects': ['comfort', 'connectivity'], 'parent_asin': 'B0BD99CPHB'}"
"Brand: Skullcandy
Aspects: comfort, connectivity, sound
Rating: 5.0
Importance Score: 9.13
Review: Fit well.  Don't slip.  Great for bike riding and working out. I have had some other skull candy earbuds and they fit really well.  They stayed in my ears and the sounds was good.  These are no exception.<br />These work really well for working out and riding bikes.  I have ridden with them on off-road and on road and they don't slip.<br />I have other Bluetooth headphones that don't have the neck attachment and they slip out of my ears.  The weight of the bud with all the electronics is too much. That problem doesn't happen here since the electronics are in the neck part.  I love them.","{'type': 'positive_evidence', 'brand': 'Skullcandy', 'aspects': ['comfort', 'connectivity', 'sound'], 'parent_asin': 'B0B37YMFK2'}"
"Brand: Audio-Technica
Aspects: comfort, price, sound
Rating: 5.0
Importance Score: 0.12
Review: Sounds great and very comfortable Sounds great and very comfortable. Decent price.","{'type': 'positive_evidence', 'brand': 'Audio-Technica', 'aspects': ['comfort', 'price', 'sound'], 'parent_asin': 'B0BD99CPHB'}"
"Brand: Bose
Aspects: battery, build, comfort, sound
Rating: 5.0
Importance Score: 1.60
Review: Great sounds, alright battery life (6 hours) The sound is incredible on these. Not too bassy, doesn't block out outside noise so perfect for riding a bike or working out. It's strange, while being fully immersed in the music with unperilled sound quality, you are still able to hear your outside surroundings. It's like bone conducting headphones but with better sound quality. Granted, if you turn up the music too loud it will drown out everything around you, but you can turn the volume down, not sacrifice quality, and still be able to enjoy the best of both worlds. :)<br /><br />Only bad thing is that they don't last all day. That's fair though and they advertise for 6 hours. I think I get about 6-8 depending on the day and what I'm doing, but it would be nice if they at LEAST lasted 8 hours for the normal workday. I hope this review helps.","{'type': 'positive_evidence', 'brand': 'Bose', 'aspects': ['battery', 'build', 'comfort', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Audio-Technica
Aspects: build, comfort, sound
Rating: 4.0
Importance Score: 3.44
Review: Audio-Technica ATH-M50X is good Audio-Technica ATH-M50X is used to listen to news and music.  I like the sound quality.  However, the earcup is too tight and uncomfortable.  I had to buy a two-piece earcup replacement to soften the grip.","{'type': 'positive_evidence', 'brand': 'Audio-Technica', 'aspects': ['build', 'comfort', 'sound'], 'parent_asin': 'B0BD99CPHB'}"
"Brand: Skullcandy
Aspects: comfort, price, sound
Rating: 5.0
Importance Score: 0.17
Review: Just right! These are great wireless headphone for a great price.  They are comfortable and sound great!","{'type': 'positive_evidence', 'brand': 'Skullcandy', 'aspects': ['comfort', 'price', 'sound'], 'parent_asin': 'B08HTNC8PJ'}"
"Brand: JVC
Aspects: anc, battery, build, comfort, sound
Rating: 5.0
Importance Score: 1.26
Review: JVC Headphones as good as it gets for wireless headphones First off the sound quality on these is amazing for a wireless headphone. Everything is crisp and clear - the power to drive the sound is here. These headphones have good base boost, and volume levels to make these great for those who fly. With the added assist of noise cancelling, these are headphones I like to keep in my travel bag. i am not sure if I would get 17 hours out of a charge, but these can go a full day of travel without requiring a recharge.<br /><br />These are comfortable for long lengths of time both in weight and the over the ear fit. I will continue using these as my go to when traveling.","{'type': 'positive_evidence', 'brand': 'JVC', 'aspects': ['anc', 'battery', 'build', 'comfort', 'sound'], 'parent_asin': 'B07NHTCQW8'}"
"Brand: Anker
Aspects: comfort, price, sound
Rating: 5.0
Importance Score: 0.20
Review: Bass finally!!! For the price, great sound. Rich bass vs any other sub $40 wireless earbud set I have tried.","{'type': 'positive_evidence', 'brand': 'Anker', 'aspects': ['comfort', 'price', 'sound'], 'parent_asin': 'B071GNH9MT'}"
"Brand: Skullcandy
Aspects: comfort
Rating: 4.0
Importance Score: 3.07
Review: Comfortable Comfortable, light and good looking headphones.","{'type': 'positive_evidence', 'brand': 'Skullcandy', 'aspects': ['comfort'], 'parent_asin': 'B00YZT4RL0'}"
"Brand: Sennheiser
Aspects: battery, comfort, price
Rating: 5.0
Importance Score: 0.55
Review: listening to television can be enjoyed again. Worked perfectly on my mother's television hearing device that had been around for quite a while. I doubted that the battery was the problem, but it was the easiest and cheapest thing to try. It fixed it perfectly, and now, listening to television can be enjoyed again.","{'type': 'positive_evidence', 'brand': 'Sennheiser', 'aspects': ['battery', 'comfort', 'price'], 'parent_asin': 'B0009PL4CY'}"
"Brand: Sony
Aspects: anc, build, comfort, microphone, sound
Rating: 5.0
Importance Score: 1.04
Review: My hubby is jealous When my hubby saw what headphones I got, he was jealous because he has a slightly older version and they’re his fave headphones.  I can see why. Excellent noise canceling. Great sound quality. Nice hard carrying case. They’re pretty comfy.<br /><br />Only complaint is that the mic wasn’t as popular on phone calls as the mic on my Sennheiser headphones.  The person I call most regularly said it’s harder to hear me. But I mostly use them for headphones, not a mic so I am okay with that.  Headphones are 5 overall while the mic is 4.","{'type': 'positive_evidence', 'brand': 'Sony', 'aspects': ['anc', 'build', 'comfort', 'microphone', 'sound'], 'parent_asin': 'B08DBDSVBC'}"
"Brand: SoundPEATS
Aspects: anc, battery, build, connectivity, microphone, sound
Rating: 5.0
Importance Score: 0.89
Review: Great for laptops & conference calls. I got these headphones for conference calls mainly and with the CVC noise cancelling the quality has been great. They connected to my laptop without any issue and can go almost a full 8 hours. I'll pop them in to charge around lunch time, which gets me through a whole day no problem. The sound quality is great if I'm listening to music or any other audio source. USB-C and wireless charging make it easy to keep the case charged up.","{'type': 'positive_evidence', 'brand': 'SoundPEATS', 'aspects': ['anc', 'battery', 'build', 'connectivity', 'microphone', 'sound'], 'parent_asin': 'B086BD3KKT'}"
"Brand: Bose
Aspects: connectivity
Rating: 5.0
Importance Score: 0.24
Review: They work great! I waited it out on getting a pair of Bluetooth Headphones.  I have had 0 problems with these. They work great!","{'type': 'positive_evidence', 'brand': 'Bose', 'aspects': ['connectivity'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Skullcandy
Aspects: build, price, sound
Rating: 5.0
Importance Score: 0.14
Review: My daughter love it It have good quality sound and the price is great","{'type': 'positive_evidence', 'brand': 'Skullcandy', 'aspects': ['build', 'price', 'sound'], 'parent_asin': 'B0B3M2KLD1'}"
"Brand: Sony
Aspects: comfort, sound
Rating: 4.0
Importance Score: 3.31
Review: I'm impressed! Great sound. The foam tips are bit tight at first but they wear in. I have some cons with the software/app but the earbuds themselves are great.","{'type': 'positive_evidence', 'brand': 'Sony', 'aspects': ['comfort', 'sound'], 'parent_asin': 'B096WPKZNR'}"
"Brand: Skullcandy
Aspects: anc, battery, build, comfort, connectivity, price, sound
Rating: 5.0
Importance Score: 3.51
Review: Extreme value for the lowered $50 price do These were originally about $120-130 and I got these for $50 at Best Buy. Amazon sells them for this price now, too. These are awesome. To begin, when you put them on, you'll realize they have pretty decent sound isolation for a non-anc pair of headphones. This was the first thing I noticed when trying them on in store and a strong plus. The sound is great as well. Boosted bass but not obnoxiously overwhelming and the mids and highs are decently balanced. I'd say the worst sound feature is that they are slightly muddy if you really pay attention or are an audiophile. I listen to hours of music everyday and these are still high quality cans. To compare, I have a pair of Sony wh1000mx3 ($300+ and one of the best cans on the market) and if those are 8.5/10 in sound, these are about a 6.5/10. For $50 compared to $300+ and only minimal difference in sound is phenomenal. I use these only for the gym because I don't want to ruin my Sony ones. They are made cheaper obviously but it's never something I really notice nor care about. I've had them for months and I'm honestly not the most careful person and I haven't experienced any cracks or defects like others have shared.  Battery life is strong to this day. Connectivity is easy and I never have issues. The only gripe that would've rendered these perfect would be that the buttons for volume and turning on(the only buttons) are not the best (I'm being very nitpicky) and there are no additional features like Google Assistant. Really for $50 that'd be asking for a lot but those are the only things I can fault. When these were $130, I'd give them a high 3 or a low 4 out of 5 but for $50 I can't imagine a better Bluetooth over ear headphone that isn't 4-6x more expensive.","{'type': 'positive_evidence', 'brand': 'Skullcandy', 'aspects': ['anc', 'battery', 'build', 'comfort', 'connectivity', 'price', 'sound'], 'parent_asin': 'B0756Z1XK7'}"
"Brand: Audio-Technica
Aspects: comfort
Rating: 5.0
Importance Score: 0.31
Review: Highly recommend. Wires are amazingly strong Awesomely beautify headphones. Highly recommend. Wires are amazingly strong. Be careful not to rotate ear 180 degrees when the cup is actually just upside down.","{'type': 'positive_evidence', 'brand': 'Audio-Technica', 'aspects': ['comfort'], 'parent_asin': 'B0BD99CPHB'}"
"Brand: Bose
Aspects: comfort, sound
Rating: 5.0
Importance Score: 2.71
Review: My husband’s only choice. My husband has bought other ear buds before but was super disappointed in the sound. He loves these! It cuts out background noise so that he can hear well. Plus, if he’s talking on the phone with them, he doesn’t sound like he’s in a tunnel to the person he’s talking to. He won’t use any other ear buds but theae.","{'type': 'positive_evidence', 'brand': 'Bose', 'aspects': ['comfort', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Sony
Aspects: anc, build, comfort, sound
Rating: 4.0
Importance Score: 3.72
Review: Amazing earbuds, but a tad bulky Overall, these are the best true wireless earbuds I've used. The sound quality is amazing, and the ANC works really well. My only gripe is that they're a little too bulky for my ears. I can't seem to get a good fit that will stay sealed for extended periods of time. They do look somewhat goofy as well due to their large size.","{'type': 'positive_evidence', 'brand': 'Sony', 'aspects': ['anc', 'build', 'comfort', 'sound'], 'parent_asin': 'B096WPKZNR'}"
"Brand: Skullcandy
Aspects: build, sound
Rating: 5.0
Importance Score: 0.28
Review: Great Great headphones, good sound. I had a previous model which broke after a couple of months. These updated ones seem a bit sturdier. No problems so far.","{'type': 'positive_evidence', 'brand': 'Skullcandy', 'aspects': ['build', 'sound'], 'parent_asin': 'B08HTNLS6N'}"
"Brand: Sony
Aspects: anc, comfort, price, sound
Rating: 4.0
Importance Score: 3.29
Review: Decent headphones for the price They are pretty comfortable, and do a good job of noise cancelling.  They are a little short and the don't go very loud.","{'type': 'positive_evidence', 'brand': 'Sony', 'aspects': ['anc', 'comfort', 'price', 'sound'], 'parent_asin': 'B088GJ1L5Z'}"
"Brand: Soundcore
Aspects: battery
Rating: 5.0
Importance Score: 0.19
Review: Great Headphones! The battery life and clarity on the other end, made me sure I chose the right headphones.","{'type': 'positive_evidence', 'brand': 'Soundcore', 'aspects': ['battery'], 'parent_asin': 'B08YN7QX1Q'}"
"Brand: Anker
Aspects: price
Rating: 5.0
Importance Score: 0.37
Review: Great wireless headphones and proactive followup by customer service Great wireless headphones for a great price! I love that customer service followed up after I received the item to ensure I was happy! I most definitely am!","{'type': 'positive_evidence', 'brand': 'Anker', 'aspects': ['price'], 'parent_asin': 'B01NBOPJW2'}"
"Brand: Audio-Technica
Aspects: anc, battery, comfort, sound
Rating: 5.0
Importance Score: 1.14
Review: Sound fidelity has been good My typical use is when I'm watching my tablet while doing dishes.  I cannot comment on ""sound cancellation"" as I generally only have one ear piece in; however, when both ear pieces are wedged in, it becomes an ear plug (like all other earbuds).  The bass is pronounced w/o being over bearing, highs and mids still come through clear and not muddied - the overall sound fidelity is great (compared to the Mpow Flame).  If the unit is still selling for less than $40 (even $50) - I would definitely say buy them over the Mpow Flame in this category.  Battery life is actually the 5+hours they claim.","{'type': 'positive_evidence', 'brand': 'Audio-Technica', 'aspects': ['anc', 'battery', 'comfort', 'sound'], 'parent_asin': 'B071D2HZ24'}"
"Brand: Sennheiser
Aspects: battery, comfort, connectivity, microphone, price, sound
Rating: 5.0
Importance Score: 3.91
Review: Perfect for playing rock and roll without disturbing your partner in bed I use a pair of Shure 535 for many years, love it. But the over the ear loop hurts on pillow and worry breaking the cable.  Bought a pair B&W PL3, doesn’t sound as good as Shure and the housing it too big for my ears and the cable is pretty hard.  So I got this.  The sound is fine, good enough for Bluetooth device; the soft cable is perfect light and thin, the bud fits my ears and comfortable on pillow.  A couple things you may not like are, the fit is bit loose, not sure how well it will stay in for sports and the magnet is week, don’t stay connected is annoying.  Overall, I wouldn’t pay $199 for it, $99 is a fair price and I am using it as my primary listening device now.  Haven’t try the mic yet, but it’s not important to me and the battery life is only 5.5 hours in real life.  So I will still use my 8 hours Shure on long flight.","{'type': 'positive_evidence', 'brand': 'Sennheiser', 'aspects': ['battery', 'comfort', 'connectivity', 'microphone', 'price', 'sound'], 'parent_asin': 'B075JGSF2V'}"
"Brand: Sony
Aspects: comfort, microphone, sound
Rating: 4.0
Importance Score: 4.88
Review: Good Item to Have My husband bought these for me to use with my Iphone. I workout using google play and I had been having to strap my iphone to my arm and it was time consuming and tedious to do this everytime I go to work out. This enabled me to have less on and so it is easier to workout. You can fast forward songs, choose volume, and pause with this device. Initially though, you need to start and choose what you are going to play first on your main music device. The one thing I wasn't thrilled about is that the volume is not as loud as any of my other earphones and I am not sure if that is due to this device or the headphones it uses specifically. I may not need to blast music into my ears as loud as i like to but it is nice to have the option. I do like that the wire is shorter than my other ear buds, it leaves a lot less to have to tie up so they aren't hanging out everywhere.","{'type': 'positive_evidence', 'brand': 'Sony', 'aspects': ['comfort', 'microphone', 'sound'], 'parent_asin': 'B00HMYAUYS'}"
"Brand: Sony
Aspects: anc, comfort, sound
Rating: 5.0
Importance Score: 0.30
Review: Excellent Headphones Multi-purpose headphones since you can use them with your PC, cell phone or nothing at all just for the noise canceling feature. Light weight and very comfortable.","{'type': 'positive_evidence', 'brand': 'Sony', 'aspects': ['anc', 'comfort', 'sound'], 'parent_asin': 'B08DBDSVBC'}"
"Brand: Anker
Aspects: battery, price, sound
Rating: 5.0
Importance Score: 0.50
Review: great battery life and decent sound for price...great buy.. these are very good headphones and the battery life is amazing... two full shifts at work before had to charge them.....and a shout out to the outstanding customer service.....will have hands on video soon so keep eyes out..","{'type': 'positive_evidence', 'brand': 'Anker', 'aspects': ['battery', 'price', 'sound'], 'parent_asin': 'B06XGBPW3D'}"
"Brand: Audio-Technica
Aspects: connectivity
Rating: 5.0
Importance Score: 0.18
Review: Love this purchase for nostalgic purposes. Works great. Bluetooth is why I bought it. Excellent piece of equipment.","{'type': 'positive_evidence', 'brand': 'Audio-Technica', 'aspects': ['connectivity'], 'parent_asin': 'B07T3D8RXQ'}"
"Brand: Soundcore
Aspects: battery, comfort, connectivity, price, sound
Rating: 5.0
Importance Score: 0.83
Review: Great sound! These earbuds had some of the best sound I've found so far in this price range.  They are easy to pair and unlike my other buds you can use one or the other.  They are easy to pair and easy to use.  The touch sensitive button is a bit too sensitive for my liking.  The buds are the most comfortable I've tried so far.  The battery life could be better but not enough to choose another brand.  Very pleased.","{'type': 'positive_evidence', 'brand': 'Soundcore', 'aspects': ['battery', 'comfort', 'connectivity', 'price', 'sound'], 'parent_asin': 'B07SJFY5BK'}"
"Brand: SoundPEATS
Aspects: build, comfort, connectivity, microphone, price, sound
Rating: 4.0
Importance Score: 6.52
Review: Nice bluetooth headset Easy to pair, easy to use, this is a pretty nice set of headphones. They come in a kit with a useful storage box, extra pads for the earpieces, and a short USB cord. They're a bit better for listening to music than for talking on the phone, as calls tend to sound a bit washed out like the person is in a well. Nevertheless, in my test calls my voice came through clear and loud on the other end. Also, the cord is just barely long enough on my head; no issues for me but that might be problematic for some users. The ear pieces are comfortable for about 45 minutes or so, then they begin to get annoying. I'm only knocking off 1/2 a star for comfort and 1/2 for phone call quality because for the price this is a really good value.","{'type': 'positive_evidence', 'brand': 'SoundPEATS', 'aspects': ['build', 'comfort', 'connectivity', 'microphone', 'price', 'sound'], 'parent_asin': 'B00YWZ1JN6'}"
"Brand: Anker
Aspects: comfort, price, sound
Rating: 5.0
Importance Score: 0.33
Review: Comfortable and sound good When you want to block the outside noise, these work well. Sound is very good for the price. I also find the controls (start, stop, volume) easy to use.","{'type': 'positive_evidence', 'brand': 'Anker', 'aspects': ['comfort', 'price', 'sound'], 'parent_asin': 'B01IUQERAY'}"
"Brand: Skullcandy
Aspects: battery, build, comfort, price, sound
Rating: 5.0
Importance Score: 1.53
Review: The sound quality and the price👍👍! Well compared to the new apple ear ipods (2020) Which I just took back because they sound like garbage And that is a under statement(they’re loud as hell but sound like crap)the skull candy are a lot  better and for $217.00 less than the new apple iPods. Don’t think I need to change ear pads but I got better ones. Can’t wait to see how much better these things sound! Don’t bother to wait your time for the new apples buy these, they sound out of this world! I’ve been looking for earbuds that have the closed door effect and these are those! And they really stay in place when you’re running. There’s only one thing bad the USB recharger could be made better the  plug in is Really difficult to plug in Each time to recharge :(","{'type': 'positive_evidence', 'brand': 'Skullcandy', 'aspects': ['battery', 'build', 'comfort', 'price', 'sound'], 'parent_asin': 'B09S1BSZQB'}"
"Brand: Sony
Aspects: build, comfort
Rating: 4.0
Importance Score: 5.26
Review: Great product Great product, only issue is that the heat start building in your ear and its pretty uncomfortable and you have to remove the headphones.","{'type': 'positive_evidence', 'brand': 'Sony', 'aspects': ['build', 'comfort'], 'parent_asin': 'B088GJ1L5Z'}"
"Brand: Sony
Aspects: battery, build, comfort, connectivity, sound
Rating: 4.0
Importance Score: 5.93
Review: Volume levels aren't always where I'd like them depending on the audio source For Bluetooth headphones, I think they have really decent sound quality. Volume levels aren't always where I'd like them depending on the audio source, but not bad. Sound isolation is also pretty good but not fantastic. Sound leakage is minimal in my experience. Battery so far does very well. The ear cups fully surround my ears, but only barely. Anyone with larger ears might find this information worthwhile when expecting them to fully encase their ears.","{'type': 'positive_evidence', 'brand': 'Sony', 'aspects': ['battery', 'build', 'comfort', 'connectivity', 'sound'], 'parent_asin': 'B00FJISZ8M'}"
"Brand: Sony
Aspects: comfort, connectivity, sound
Rating: 5.0
Importance Score: 0.56
Review: Great protection from full blast airline announcements These work great on airplanes and you can’t even hear the blaring announcements. And you just put your palm against the right headphone to be able to hear ambient noise. You can control the volume and skip tracks just by swiping the right headphone. Easy blue tooth connection.","{'type': 'positive_evidence', 'brand': 'Sony', 'aspects': ['comfort', 'connectivity', 'sound'], 'parent_asin': 'B08DBDSVBC'}"
"Brand: Skullcandy
Aspects: comfort
Rating: 5.0
Importance Score: 0.18
Review: Best ones they are the best ones that my husband has found that fits his big ears..lol","{'type': 'positive_evidence', 'brand': 'Skullcandy', 'aspects': ['comfort'], 'parent_asin': 'B071J3XY6S'}"
"Brand: LG
Aspects: battery
Rating: 5.0
Importance Score: 0.33
Review: Love it after about 2 months the clips holding the ... Love it after about 2 months the clips holding the headphones will break off but it's still amazing. hold charge for days.","{'type': 'positive_evidence', 'brand': 'LG', 'aspects': ['battery'], 'parent_asin': 'B00D477YFA'}"
"Brand: Anker
Aspects: build, comfort, sound
Rating: 5.0
Importance Score: 0.46
Review: LOVE these earbuds I always have trouble getting earbuds to stay on my ears, especially if I'm doing anything physical while wearing them. These fit perfectly and don't budge. The sound quality is excellent and they're very easy and quick to put on.","{'type': 'positive_evidence', 'brand': 'Anker', 'aspects': ['build', 'comfort', 'sound'], 'parent_asin': 'B0734T78Z7'}"
"Brand: Sony
Aspects: battery, comfort
Rating: 4.0
Importance Score: 5.29
Review: Charges last pretty long. Doesn't stay in the ears very well ... Works well. Charges last pretty long. Doesn't stay in the ears very well when running though.","{'type': 'positive_evidence', 'brand': 'Sony', 'aspects': ['battery', 'comfort'], 'parent_asin': 'B079GVMJM8'}"
"Brand: Sennheiser
Aspects: anc, build, comfort, connectivity, sound
Rating: 4.0
Importance Score: 5.89
Review: Mostly Good Likes:<br /><br />Wireless works well and has a nice range.  I was able to use it on the second level of house while phone was downstairs.<br /><br />Pairs quickly with iPhone<br /><br />Sound quality is very good<br /><br />Controls are easy to find and use<br /><br />Easy to fold and store<br /><br />Dislikes:<br /><br />Noise cancellation is mediocre.<br /><br />Becomes uncomfortable after extended use.  I do not normally wear headphones so I am not used to having them on my head.  They get uncomfortable on the ears.  Sennheiser should offer an over the ear alternative.","{'type': 'positive_evidence', 'brand': 'Sennheiser', 'aspects': ['anc', 'build', 'comfort', 'connectivity', 'sound'], 'parent_asin': 'B007K3SB6K'}"
"Brand: Audio-Technica
Aspects: anc, connectivity, price, sound
Rating: 5.0
Importance Score: 104.89
Review: Only a turn table, no speakers When you're unfamiliar with record players, what they need or consist of, asking yourself questions as ""what is Resonance?"" or just overwhelmed with all these new parts such as needles, tone arms, turntable mat's, and such.<br />Well, I can tell you right now, if you want to enjoy you're records and music sessions for yourself, you're going to want to go with Audio Technica. I believe this may be one of their cheaper models, but I don't think you need to over extend you're wallet if you're unfamiliar with all of the choices out there. So why this one? Easy.<br /><br />it's a freakin' AWESOME record player! The record starts spinning at a press of a button, with a tone arm to follow in suit after. Simply place you're record of you're audio-technica turntable mat, and press the button.  (After assembly) Don't feel like pressing the button and want to drop the needle yourself? go right ahead; the response time is immediate. The ATXLP60 comes in 3 color options; I chose orange because ... why not.<br />This is probably the best record player for a newbie, or for someone who wants to give a great gift in a new hobby.<br /><br />Assembly: I've never had to ""assemble"" a record player, but it really gave me a sweet satisfaction seeing it put together, and understand some of the mechanics of the process. The instructions, obviously, work. I wouldn't stress about breaking anything; it's mostly setting a plate on the turn table, and making sure the belt is wrapped around the left side spindle.  The record player is wide, but light weight. After using a large Crossly for so long, I'm very happy with the size of the product.<br /><br />Giftability: Yes! But be sure to have a good pair of speakers to come along, otherwise, you're friend isn't going to be able to listen to their records. Packaging for the products are legit, and just arrive in pristine condition.<br /><br />Overall: Normally you can get all in 1 record player for this price, with all the gizmo's and attachments. With the speakers not built into the record player, we are looking at no resonance feedback.As long as you take care of the record player, it's going to last longer than the needle. Which, mind you, needs replacing after awhile, in case you were not aware. Audio-Technica also specializes in needles, which is great perk. I'd like to mention that the needles for these ""all in one"" record players have a cheaper model of needle, and may damage your records in long term use. I skipped out on the blue tooth option, which i slightly regret now after buying a good pair of speakers, but I feel that it's a non essential in record player needs.","{'type': 'positive_evidence', 'brand': 'Audio-Technica', 'aspects': ['anc', 'connectivity', 'price', 'sound'], 'parent_asin': 'B07T3D8RXQ'}"
"Brand: LG
Aspects: battery, comfort, connectivity
Rating: 5.0
Importance Score: 0.41
Review: Excellent! Got this for my wife. I have the black one and have had it for over a year now. I absolutely love these Bluetooths. She hasn't had any problems with hers. They hold a long charge and work great.","{'type': 'positive_evidence', 'brand': 'LG', 'aspects': ['battery', 'comfort', 'connectivity'], 'parent_asin': 'B00J5L6AJK'}"
"Brand: Anker
Aspects: battery, build, sound
Rating: 4.0
Importance Score: 3.08
Review: Decent sound quality Good sound,ok battery life.","{'type': 'positive_evidence', 'brand': 'Anker', 'aspects': ['battery', 'build', 'sound'], 'parent_asin': 'B07HFQLFWC'}"
"Brand: Bose
Aspects: battery, comfort
Rating: 5.0
Importance Score: 0.16
Review: Five Stars incredibly comfortable earbuds. battery life is great too. Nice compliment to my QC35's.","{'type': 'positive_evidence', 'brand': 'Bose', 'aspects': ['battery', 'comfort'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: LG
Aspects: comfort, sound
Rating: 5.0
Importance Score: 0.05
Review: Clear sound Perfect for work","{'type': 'positive_evidence', 'brand': 'LG', 'aspects': ['comfort', 'sound'], 'parent_asin': 'B00R9RF0EI'}"
"Brand: Soundcore
Aspects: battery, build, sound
Rating: 5.0
Importance Score: 0.49
Review: **Survived Washer and Dryer!!!** My son left these in his pocket and they survived the washer and dryer still working great! He says that there was no difference in the great sound quality before and after. The charge lasts the day, and he uses them a lot. Highly recommended!","{'type': 'positive_evidence', 'brand': 'Soundcore', 'aspects': ['battery', 'build', 'sound'], 'parent_asin': 'B07NM44B48'}"
"Brand: Bose
Aspects: anc, battery, build, comfort, microphone, sound
Rating: 4.0
Importance Score: 6.94
Review: Great, quality earbuds by Bose with Tile app; battery life needs improvement Overall, the durability and performance  of these earbuds is excellent. The sound quality is very good and the noise cancellation is highly rated. I work in a lab environment where constant mechanical humming is a mild irritant. The noise cancellation blocks this at very high volumes, while allowing some ambient noise at lower volumes. This feature is exceptional! The sound quality is great, but not too heavy on bass if you are looking for a product specifically for 808 bass tones. The battery life is average; I get about 6 hours if I play music and podcasts from 100% to dead. The trouble with the battery is that the device does not dictate precise percentages—only estimations. But that’s about the only issue I have with the device. The coolest feature is the Tile app linked to it. The buds make a SUPER LOUD chiming sound that helps you find them easily. It’s the primary reason I bought them and it has saved me so much money! I constantly lose earbuds because they catch onto things, get lost or stolen.","{'type': 'positive_evidence', 'brand': 'Bose', 'aspects': ['anc', 'battery', 'build', 'comfort', 'microphone', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
